开奖日期,期号,销售额,开奖结果
2020-09-28,20095,265863829,"02,18,25,26,32,02,07"
2020-09-26,20094,290322382,"04,06,07,08,16,02,08"
2020-09-23,20093,279991779,"06,14,25,27,28,04,11"
2020-09-21,20092,269838213,"08,11,17,31,35,07,11"
2020-09-19,20091,293820005,"12,16,20,23,31,05,12"
2020-09-16,20090,280443686,"05,06,27,28,29,11,12"
2020-09-14,20089,274438340,"13,16,20,22,27,01,02"
2020-09-12,20088,297982352,"02,07,23,26,35,01,12"
2020-09-09,20087,285933804,"01,04,20,23,29,04,08"
2020-09-07,20086,273366854,"08,11,15,20,28,04,10"
2020-09-05,20085,295847488,"03,04,11,15,28,02,03"
2020-09-02,20084,281668774,"02,10,20,24,31,06,12"
2020-08-31,20083,271235594,"01,02,17,32,34,04,09"
2020-08-29,20082,291838192,"02,11,12,21,34,04,08"
2020-08-26,20081,266594465,"01,13,15,32,35,08,10"
2020-08-24,20080,263844694,"03,06,22,24,25,09,10"
2020-08-22,20079,292614622,"04,16,24,29,35,02,12"
2020-08-19,20078,269949871,"14,18,20,28,34,10,11"
2020-08-17,20077,270568843,"17,23,28,29,32,01,03"
2020-08-15,20076,294292139,"01,08,18,28,30,10,12"
2020-08-12,20075,271697395,"02,09,10,21,35,01,07"
2020-08-10,20074,270785594,"03,09,10,12,21,04,11"
2020-08-08,20073,298601828,"04,10,12,23,27,08,09"
2020-08-05,20072,270501710,"11,15,18,20,27,05,06"
2020-08-03,20071,269034062,"01,12,16,28,33,03,12"
2020-08-01,20070,294678230,"01,22,30,31,32,04,12"
2020-07-29,20069,276270699,"05,07,26,30,31,07,10"
2020-07-27,20068,275720877,"15,20,23,26,33,02,08"
2020-07-25,20067,298070364,"01,08,14,16,28,04,10"
2020-07-22,20066,275984921,"06,14,21,34,35,03,10"
2020-07-20,20065,275339410,"13,15,26,32,33,05,07"
2020-07-18,20064,306180017,"05,10,23,34,35,01,11"
2020-07-15,20063,285313485,"11,18,20,21,33,06,07"
2020-07-13,20062,281547455,"01,05,14,23,31,02,07"
2020-07-11,20061,311505452,"07,08,12,21,26,01,06"
2020-07-08,20060,293094526,"12,14,25,34,35,03,12"
2020-07-06,20059,288214989,"01,15,22,28,32,03,11"
2020-07-04,20058,311403757,"01,15,19,26,27,05,10"
2020-07-01,20057,290961693,"17,20,21,22,31,02,08"
2020-06-29,20056,293376714,"03,11,25,29,34,03,06"
2020-06-27,20055,323557054,"03,04,12,18,34,10,12"
2020-06-24,20054,316196813,"11,14,15,19,20,03,07"
2020-06-22,20053,321021775,"02,15,18,21,27,03,06"
2020-06-20,20052,346849702,"09,11,26,28,35,06,07"
2020-06-17,20051,316737986,"02,07,09,19,33,01,07"
2020-06-15,20050,319364735,"03,14,16,22,34,02,06"
2020-06-13,20049,346562943,"03,11,15,22,30,08,10"
2020-06-10,20048,326341634,"03,09,10,15,16,07,09"
2020-06-08,20047,329244489,"04,18,27,28,30,03,10"
2020-06-06,20046,356817551,"15,24,27,30,34,04,12"
2020-06-03,20045,331645185,"02,09,16,23,27,03,08"
2020-06-01,20044,326278357,"01,03,22,28,30,02,05"
2020-05-30,20043,361785294,"12,13,17,31,32,01,06"
2020-05-27,20042,329246559,"03,04,05,11,22,05,06"
2020-05-25,20041,323641936,"07,13,20,29,34,04,07"
2020-05-23,20040,350219331,"02,17,20,28,29,01,07"
2020-05-20,20039,327734435,"01,05,15,22,31,02,09"
